step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,rep_kl,rep_traj,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
1,2929,1.9619,0.7364,5.9657,0.0002,0.0873,,0.0037,3.42e-06,9.44,32.4,91.4,66.2
5,2929,1.9887,0.6818,5.4892,0.0002,0.0873,,0.0037,1.71e-05,8.62,32.4,91.4,61.4
10,2929,2.1208,0.8697,5.532,0.0002,0.0873,,0.0035,3.42e-05,7.22,32.4,91.4,60.7
15,2929,1.5414,0.5802,4.5917,0.0001,0.0862,,0.0033,5.14e-05,9.13,32.4,91.4,60.6
20,2929,1.6563,0.7953,3.3939,0.0002,0.0938,,0.0097,6.85e-05,6.58,32.4,91.4,60.5
25,2929,1.8132,0.8308,3.6819,0.0001,0.0945,,0.0109,8.56e-05,10.28,32.4,91.6,60.9
30,2929,1.7658,0.8994,2.508,0.0001,0.0916,,0.0315,0.000103,6.06,32.4,91.6,60.9
35,2929,1.15,0.658,1.8785,0.0001,0.1012,,0.0733,0.00012,5.24,32.4,91.6,60.9
40,2929,1.0792,0.7373,1.1746,0.0001,0.0821,,0.0394,0.000137,2.11,32.4,91.6,60.8
45,2929,0.9067,0.6994,0.366,0.0001,0.0553,,0.0,0.000154,2.98,32.4,91.6,61.0
50,2929,0.7769,0.5873,0.2227,0.0001,0.0537,,0.0,0.000171,1.53,32.4,91.6,60.9
55,2929,0.8679,0.6484,0.1578,0.0001,0.0286,,0.0,0.000188,11.69,32.4,91.6,63.7
60,2929,0.7664,0.535,0.0689,0.0001,0.0215,,0.0007,0.000205,1.97,32.4,91.6,63.4
65,2929,0.6448,0.4511,0.0524,0.0001,0.017,,0.0,0.000223,1.52,32.4,91.6,63.3
70,2929,0.564,0.4414,0.035,0.0001,0.0092,,0.0,0.00024,1.11,32.4,91.6,63.1
75,2929,0.5808,0.4281,0.025,0.0001,0.0,,0.0,0.000257,2.33,32.4,91.6,62.9
80,2929,0.6121,0.4377,0.0317,0.0001,0.0001,,0.0,0.000274,1.45,32.4,91.6,62.8
