tensor,layer,kind,numel,neg,zero,pos,neg_frac,zero_frac,pos_frac
model.layers.0.self_attn.q_proj,0,q_proj,16777216,5335916,6102455,5338845,0.31804537773132324,0.3637346625328064,0.31821995973587036
model.layers.5.self_attn.k_proj,5,k_proj,4194304,1329922,1529378,1335004,0.3170781135559082,0.36463212966918945,0.31828975677490234
model.layers.10.self_attn.v_proj,10,v_proj,4194304,1306900,1578550,1308854,0.31158924102783203,0.3763556480407715,0.3120551109313965
model.layers.15.self_attn.o_proj,15,o_proj,16777216,5212501,6355439,5209276,0.3106892704963684,0.3788136839866638,0.3104970455169678
model.layers.20.self_attn.o_proj,20,o_proj,16777216,5157492,6465150,5154574,0.30741047859191895,0.3853529691696167,0.30723655223846436
model.layers.25.mlp.gate_proj,25,gate_proj,50331648,15474854,19350069,15506725,0.3074577252070109,0.38445132970809937,0.3080909450848897
model.layers.30.mlp.up_proj,30,up_proj,50331648,15830368,18674890,15826390,0.3145211537679036,0.37103672822316486,0.31444211800893146
model.layers.35.mlp.down_proj,35,down_proj,50331648,16378896,17572074,16380678,0.32541942596435547,0.3491257429122925,0.32545483112335205
