step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,rep_kl,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
1,613,2.1169,0.6592,5.3196,0.0002,0.0065,,1.67e-05,7.02,31.7,88.8,47.8
5,613,2.3611,0.8954,6.1064,0.0002,0.0049,,8.33e-05,7.22,31.7,88.8,48.8
10,613,1.817,0.6481,4.3928,0.0001,0.0006,,0.000167,12.37,31.7,88.8,49.1
15,613,1.6433,0.8176,2.8287,0.0001,0.0071,,0.00025,4.73,31.7,88.8,49.2
20,613,1.0406,0.6102,1.0241,0.0001,0.0025,,0.000333,1.83,31.7,88.8,49.2
25,613,0.8121,0.5496,0.1983,0.0001,0.0,,0.000417,0.94,31.7,88.8,49.2
30,613,0.567,0.3964,0.0507,0.0001,0.0,,0.0005,5.33,31.7,88.8,49.3
35,613,0.7301,0.4811,0.0319,0.0002,0.0,,0.0005,0.83,31.7,88.8,49.3
40,613,0.8149,0.5167,0.0429,0.0001,0.0004,,0.0005,1.47,31.7,88.8,49.3
45,613,0.5619,0.3629,0.0096,0.0001,0.0,,0.000499,0.76,31.7,88.8,49.3
50,613,1.2144,0.8214,0.0974,0.003,0.0,,0.000499,1.16,31.7,88.8,49.3
55,613,0.5809,0.3779,0.0137,0.0,0.0,,0.000498,0.73,31.7,88.8,52.2
60,613,0.7842,0.4872,0.0058,0.0,0.0,,0.000497,1.77,31.7,88.8,51.9
65,613,0.4306,0.3113,0.0119,0.0001,0.0,,0.000496,1.18,31.7,88.8,51.7
70,613,0.62,0.4196,0.0701,0.0002,0.0,,0.000495,1.6,31.7,88.8,51.6
75,613,0.6427,0.4207,0.0093,0.0001,0.0,,0.000493,1.46,31.7,88.8,51.4
80,613,0.4542,0.321,0.0086,0.0,0.0,,0.000492,0.9,31.7,88.8,51.3
85,613,0.7937,0.492,0.0258,0.0,0.0,,0.00049,0.64,31.7,88.8,51.2
90,613,0.6791,0.4261,0.0097,0.0001,0.0,,0.000488,0.59,31.7,88.8,51.1
95,613,0.7893,0.4762,0.006,0.0037,0.0,,0.000486,0.83,31.7,88.8,51.0
100,613,0.6378,0.4224,0.0037,0.0,0.0,,0.000484,1.75,31.7,88.8,50.9
105,613,0.7325,0.521,0.0221,0.0,0.0006,,0.000482,2.0,31.7,88.8,52.5
110,613,0.7678,0.4725,0.0044,0.0,0.0,,0.000479,0.77,31.7,88.8,52.4
115,613,0.7091,0.4617,0.0043,0.0,0.0,,0.000477,0.82,31.7,88.8,52.2
120,613,0.6682,0.4505,0.0198,0.0,0.0,,0.000474,0.97,31.7,88.8,52.1
125,613,0.6297,0.4225,0.0024,0.0,0.0,,0.000471,0.85,31.7,88.8,52.0
130,613,0.6504,0.4442,0.0051,0.0,0.001,,0.000468,3.29,31.7,88.8,51.9
135,613,0.5522,0.382,0.0081,0.0,0.0,,0.000465,0.49,31.7,88.8,51.8
140,613,0.6482,0.401,0.0072,0.0,0.0,,0.000462,1.31,31.7,88.8,51.7
145,613,0.7193,0.5141,0.0067,0.0,0.0,,0.000458,6.96,31.7,88.8,51.6
150,613,0.9119,0.7209,0.0105,0.0,0.0,,0.000455,7.65,31.7,88.8,51.5
155,613,0.8971,0.597,0.0119,0.0001,0.0,,0.000451,1.35,31.7,88.8,52.4
160,613,0.6337,0.431,0.0073,0.0001,0.0,,0.000447,0.93,31.7,88.8,52.3
165,613,0.9879,0.6462,0.0882,0.0003,0.0,,0.000443,1.04,31.7,88.8,52.3
170,613,0.7731,0.5069,0.004,0.0,0.0,,0.000439,1.55,31.7,88.8,52.2
175,613,0.6136,0.4202,0.0028,0.0,0.0,,0.000435,0.79,31.7,88.8,52.1
180,613,0.6113,0.4315,0.0078,0.0,0.0,,0.00043,0.96,31.7,88.8,52.0
185,613,0.5827,0.4267,0.0099,0.0002,0.0,,0.000426,2.5,31.7,88.8,51.9
190,613,0.6852,0.4843,0.0044,0.0,0.0,,0.000421,1.03,31.7,88.8,51.9
