step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,rep_kl,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
195,613,0.5865,0.4184,0.0096,0.0,0.0,,0.000417,1.39,31.7,88.8,51.8
200,613,0.5361,0.392,0.0033,0.0023,0.0,,0.000412,0.91,31.7,88.8,51.7
205,613,0.6011,0.4634,0.0096,0.0,0.0,,0.000407,1.51,31.7,88.8,52.6
210,613,0.7106,0.5017,0.0091,0.0,0.0032,,0.000402,0.93,31.7,88.8,52.5
215,613,0.7529,0.5262,0.0048,0.0,0.0,,0.000397,2.89,31.7,88.8,52.4
220,613,0.693,0.4923,0.0047,0.0,0.0,,0.000392,1.1,31.7,88.8,52.3
225,613,0.5962,0.4327,0.0101,0.0,0.0,,0.000387,0.8,31.7,88.8,52.3
230,613,0.7741,0.5449,0.0028,0.0,0.0,,0.000381,1.09,31.7,88.8,52.2
235,613,1.0782,0.7452,0.049,0.0391,0.0,,0.000376,4.93,31.7,88.8,52.1
240,613,1.2324,0.5005,0.035,5.267,0.0,,0.000371,19.22,31.7,88.8,52.1
245,613,0.6969,0.4634,0.1183,0.1524,0.0,,0.000365,1.21,31.7,88.8,52.0
250,613,0.711,0.5004,0.002,0.0,0.0,,0.00036,0.9,31.7,88.8,52.0
255,613,0.8837,0.5945,0.0172,0.0,0.0,,0.000354,2.29,31.7,88.8,52.5
260,613,0.634,0.4625,0.0096,0.0,0.0,,0.000348,1.66,31.7,88.8,52.5
265,613,0.6625,0.4758,0.0025,0.0,0.0,,0.000342,0.97,31.7,88.8,52.4
270,613,0.8614,0.5873,0.0045,0.0,0.0,,0.000337,1.08,31.7,88.8,52.4
275,613,0.6626,0.4584,0.0045,0.0,0.0,,0.000331,1.03,31.7,88.8,52.3
280,613,0.6039,0.4438,0.0061,0.0,0.0,,0.000325,0.67,31.7,88.8,52.3
285,613,0.6379,0.4537,0.0032,0.0,0.0,,0.000319,2.09,31.7,88.8,52.2
290,613,0.5997,0.4312,0.0096,0.0,0.0,,0.000313,0.57,31.7,88.8,52.2
295,613,0.7491,0.5282,0.0048,0.0,0.0,,0.000307,2.37,31.7,88.8,52.1
300,613,0.8706,0.6029,0.0172,0.0,0.0,,0.000301,1.68,31.7,88.8,52.1
305,613,0.7736,0.5238,0.004,0.0,0.0,,0.000295,0.88,31.7,88.8,52.6
310,613,0.505,0.35,0.0016,0.0,0.0,,0.000289,0.52,31.7,88.8,52.6
315,613,0.5553,0.4169,0.0033,0.0,0.0,,0.000283,1.13,31.7,88.8,52.5
320,613,0.6256,0.4498,0.0032,0.0,0.0,,0.000277,0.66,31.7,88.8,52.5
325,613,0.6294,0.4269,0.0026,0.0,0.0,,0.000271,0.79,31.7,88.8,52.4
330,613,0.5924,0.4023,0.0027,0.0,0.0,,0.000265,0.68,31.7,88.8,52.4
335,613,0.8415,0.5931,0.0083,0.0,0.0,,0.000259,1.08,31.7,88.8,52.4
340,613,0.5966,0.444,0.0081,0.0,0.0,,0.000253,0.63,31.7,88.8,52.3
345,613,0.8901,0.5951,0.0415,0.0,0.0,,0.000247,0.89,31.7,88.8,52.3
350,613,0.5578,0.4059,0.0036,0.0,0.0,,0.000241,0.52,31.7,88.8,52.2
355,613,0.5254,0.3698,0.004,0.0,0.0,,0.000235,0.47,31.7,88.8,52.6
360,613,0.4998,0.3481,0.0037,0.0,0.0,,0.000229,0.89,31.7,88.8,52.6
365,613,0.4802,0.3513,0.0016,0.0,0.0,,0.000223,0.88,31.7,88.8,52.5
370,613,0.7991,0.5202,0.0409,0.0,0.0,,0.000217,0.56,31.7,88.8,52.5
375,613,0.7272,0.4763,0.0042,0.0,0.0,,0.000211,0.64,31.7,88.8,52.4
380,613,0.6046,0.4195,0.004,0.0,0.0,,0.000205,0.77,31.7,88.8,52.4
385,613,0.7973,0.4947,0.0026,0.0,0.0,,0.0002,0.96,31.7,88.8,52.4
390,613,0.6349,0.4151,0.0014,0.0,0.0,,0.000194,0.91,31.7,88.8,52.3
395,613,0.5376,0.3899,0.0022,0.0,0.0,,0.000188,0.24,31.7,88.8,52.3
400,613,0.9236,0.6095,0.0302,0.0,0.0,,0.000183,0.52,31.7,88.8,52.2
405,613,0.5762,0.3833,0.0033,0.0,0.0,,0.000177,0.38,31.7,88.8,52.7
410,613,1.098,0.7009,0.0172,0.0,0.0,,0.000172,0.68,31.7,88.8,52.6
415,613,0.5362,0.3795,0.0041,0.0,0.0,,0.000166,0.59,31.7,88.8,52.6
420,613,0.512,0.3509,0.0099,0.0,0.0,,0.000161,0.71,31.7,88.8,52.5
425,613,0.7016,0.4768,0.0022,0.0,0.0,,0.000156,0.94,31.7,88.8,52.5
430,613,0.8123,0.5167,0.0119,0.0,0.0,,0.000151,0.83,31.7,88.8,52.5
435,613,0.7393,0.4859,0.0073,0.0,0.0,,0.000146,0.49,31.7,88.8,52.4
440,613,0.6117,0.4106,0.0033,0.0,0.0,,0.000141,0.6,31.7,88.8,52.4
445,613,0.6344,0.4204,0.0025,0.0,0.0,,0.000136,0.29,31.7,88.8,52.4
450,613,0.5858,0.3979,0.0035,0.0,0.0,,0.000131,0.6,31.7,88.8,52.3
455,613,0.5652,0.392,0.0031,0.0,0.0,,0.000127,0.68,31.7,88.8,52.7
460,613,0.6175,0.4089,0.0058,0.0,0.0,,0.000122,0.59,31.7,88.8,52.6
465,613,0.4656,0.3248,0.0021,0.0,0.0,,0.000118,0.43,31.7,88.8,52.6
470,613,0.5623,0.3851,0.0005,0.0,0.0,,0.000114,0.95,31.7,88.8,52.6
475,613,0.6955,0.4398,0.0044,0.0,0.0,,0.000109,0.89,31.7,88.8,52.5
480,613,0.8355,0.5177,0.0074,0.0,0.0,,0.000105,0.52,31.7,88.8,52.5
485,613,0.6046,0.4053,0.0027,0.0,0.0,,0.000101,0.81,31.7,88.8,52.5
490,613,0.5928,0.3932,0.0028,0.0,0.0,,9.76e-05,0.6,31.7,88.8,52.4
495,613,0.4696,0.3287,0.0022,0.0,0.0,,9.4e-05,0.38,31.7,88.8,52.4
500,613,0.5532,0.3717,0.0016,0.0,0.0,,9.04e-05,0.43,31.7,88.8,52.4
505,613,0.6923,0.4432,0.002,0.0,0.0,,8.7e-05,0.63,31.7,88.8,52.7
510,613,0.5257,0.3366,0.0018,0.0,0.0,,8.38e-05,1.19,31.7,88.8,52.7
515,613,0.7349,0.4946,0.0365,0.0,0.0,,8.07e-05,0.53,31.7,88.8,52.6
520,613,0.5794,0.3764,0.0032,0.0,0.0,,7.77e-05,0.51,31.7,88.8,52.6
525,613,0.6631,0.4212,0.0094,0.0,0.0,,7.48e-05,0.66,31.7,88.8,52.6
530,613,0.5523,0.3525,0.0016,0.0,0.0,,7.21e-05,0.54,31.7,88.8,52.6
535,613,0.5439,0.373,0.0027,0.0,0.0,,6.96e-05,0.36,31.7,88.8,52.5
540,613,0.3978,0.2682,0.0022,0.0,0.0,,6.72e-05,0.64,31.7,88.8,52.5
545,613,0.8645,0.5197,0.0048,0.0,0.0,,6.49e-05,1.12,31.7,88.8,52.5
550,613,0.5156,0.3401,0.0024,0.0,0.0,,6.28e-05,2.44,31.7,88.8,52.4
555,613,0.7141,0.4452,0.0066,0.0,0.0,,6.09e-05,0.65,31.7,88.8,52.7
560,613,0.6655,0.4187,0.0066,0.0,0.0,,5.91e-05,0.29,31.7,88.8,52.7
565,613,0.7364,0.4575,0.0072,0.0,0.0,,5.75e-05,0.58,31.7,88.8,52.6
570,613,1.0003,0.5989,0.0116,0.0,0.0,,5.6e-05,0.59,31.7,88.8,52.6
575,613,0.3803,0.2584,0.0016,0.0,0.0,,5.47e-05,0.48,31.7,88.8,52.6
580,613,0.5633,0.3489,0.0057,0.0,0.0,,5.35e-05,0.6,31.7,88.8,52.6
585,613,0.6376,0.3965,0.0018,0.0,0.0,,5.26e-05,0.59,31.7,88.8,52.5
590,613,0.6884,0.4154,0.0023,0.0,0.0,,5.17e-05,0.56,31.7,88.8,52.5
595,613,0.6582,0.4518,0.0065,0.0,0.0,,5.11e-05,0.32,31.7,88.8,52.5
600,613,0.4316,0.2964,0.002,0.0,0.0,,5.06e-05,1.44,31.7,88.8,52.5
