tensor,layer,kind,numel,neg,zero,pos,neg_frac,zero_frac,pos_frac
model.layers.0.self_attn.q_proj,0,q_proj,16777216,5468524,5839330,5469362,0.32594943046569824,0.34805119037628174,0.32599937915802
model.layers.5.self_attn.k_proj,5,k_proj,4194304,1346830,1496544,1350930,0.3211092948913574,0.35680389404296875,0.32208681106567383
model.layers.10.self_attn.v_proj,10,v_proj,4194304,1298012,1596412,1299880,0.30947017669677734,0.3806142807006836,0.30991554260253906
model.layers.15.self_attn.o_proj,15,o_proj,16777216,5180096,6419340,5177780,0.3087577819824219,0.38262248039245605,0.30861973762512207
model.layers.20.self_attn.o_proj,20,o_proj,16777216,5101907,6575798,5099511,0.30409735441207886,0.3919481039047241,0.303954541683197
model.layers.25.mlp.gate_proj,25,gate_proj,50331648,15349704,19608674,15373270,0.30497121810913086,0.3895893494288127,0.30543943246205646
model.layers.30.mlp.up_proj,30,up_proj,50331648,15894613,18545006,15892029,0.3157975872357686,0.3684561649958293,0.3157462477684021
model.layers.35.mlp.down_proj,35,down_proj,50331648,16593549,17143754,16594345,0.32968419790267944,0.34061578909556073,0.32970001300175983
