tensor,layer,kind,numel,neg,zero,pos,neg_frac,zero_frac,pos_frac
model.layers.0.self_attn.q_proj,0,q_proj,16777216,5470727,5834331,5472158,0.3260807394981384,0.34775322675704956,0.326166033744812
model.layers.5.self_attn.k_proj,5,k_proj,4194304,1346842,1496492,1350970,0.32111215591430664,0.35679149627685547,0.3220963478088379
model.layers.10.self_attn.v_proj,10,v_proj,4194304,1298186,1596238,1299880,0.309511661529541,0.3805727958679199,0.30991554260253906
model.layers.15.self_attn.o_proj,15,o_proj,16777216,5181261,6417593,5178362,0.3088272213935852,0.38251835107803345,0.30865442752838135
model.layers.20.self_attn.o_proj,20,o_proj,16777216,5103395,6573490,5100331,0.30418604612350464,0.3918105363845825,0.30400341749191284
model.layers.25.mlp.gate_proj,25,gate_proj,50331648,15355064,19599358,15377226,0.3050777117411296,0.38940425713857013,0.3055180311203003
model.layers.30.mlp.up_proj,30,up_proj,50331648,15894041,18546624,15890983,0.3157862226168315,0.3684883117675781,0.3157254656155904
model.layers.35.mlp.down_proj,35,down_proj,50331648,16591151,17147733,16592764,0.329636553923289,0.3406948447227478,0.3296686013539632
