step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,rep_kl,rep_traj,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
1,2974,1.8958,0.7867,5.55,0.0002,0.0873,,0.0037,3.38e-06,6.64,32.4,91.4,66.9
5,2974,2.1338,0.8336,5.6938,0.0002,0.0873,,0.0037,1.69e-05,7.04,32.4,91.4,61.5
10,2974,2.0195,0.747,5.7768,0.0002,0.0873,,0.004,3.38e-05,8.88,32.4,91.4,60.7
15,2974,1.9269,0.7544,4.9672,0.0001,0.0859,,0.0035,5.07e-05,6.86,32.4,91.4,60.5
20,2974,1.8306,0.7734,4.1932,0.0002,0.0882,,0.0031,6.76e-05,5.99,32.4,91.4,60.4
25,2974,1.4,0.727,3.1585,0.0001,0.0884,,0.0076,8.45e-05,4.79,32.4,91.4,60.8
30,2974,1.297,0.7232,2.0962,0.0001,0.0888,,0.0341,0.000101,2.84,32.4,91.4,60.7
35,2974,0.9915,0.6589,1.2632,0.0001,0.076,,0.0048,0.000118,2.94,32.4,91.4,60.7
40,2974,0.844,0.658,0.6864,0.0001,0.0578,,0.0,0.000135,2.99,32.4,91.4,60.6
45,2974,0.949,0.6952,0.3347,0.0001,0.0503,,0.0,0.000152,2.07,32.4,91.4,60.7
50,2974,0.9905,0.647,0.3424,0.0001,0.0482,,0.1506,0.000169,2.29,32.4,91.4,60.7
55,2974,0.6702,0.5065,0.1153,0.0001,0.0195,,0.0,0.000186,1.24,32.4,91.4,63.4
60,2974,0.7451,0.5521,0.0701,0.0001,0.0094,,0.0,0.000203,2.18,32.4,91.4,63.1
65,2974,0.6805,0.502,0.0603,0.0001,0.0339,,0.0,0.00022,2.3,32.4,91.4,63.0
70,2974,0.5531,0.4095,0.0354,0.0001,0.0,,0.0,0.000236,0.99,32.4,91.4,62.8
75,2974,0.7856,0.5428,0.0212,0.0001,0.0007,,0.0,0.000253,7.36,32.4,91.4,62.7
80,2974,0.5821,0.4171,0.0257,0.0001,0.0014,,0.0,0.00027,2.07,32.4,91.4,62.5
85,2974,0.6123,0.4297,0.0226,0.0001,0.0,,0.0,0.000287,5.7,32.4,91.5,62.5
90,2974,0.8513,0.5645,0.0562,0.0001,0.0,,0.0,0.000304,1.41,32.4,91.5,62.3
95,2974,0.6951,0.516,0.0991,0.0001,0.0005,,0.0,0.000321,0.86,32.4,91.5,62.2
100,2974,0.5468,0.4083,0.0142,0.0001,0.0,,0.0,0.000338,1.2,32.4,91.5,62.1
105,2974,0.5999,0.4403,0.0097,0.0,0.0,,0.0,0.000355,0.82,32.4,91.5,63.9
110,2974,0.6908,0.4367,0.0125,0.0001,0.0001,,0.0,0.000372,0.65,32.4,91.5,63.7
115,2974,0.61,0.3966,0.0151,0.0,0.0,,0.0,0.000389,0.69,32.4,91.5,63.5
120,2974,0.6638,0.527,0.033,0.0001,0.0019,,0.0,0.000405,3.35,32.4,91.5,63.4
125,2974,0.5247,0.3913,0.0115,0.0001,0.0,,0.0,0.000422,0.69,32.4,91.5,63.3
130,2974,0.5221,0.3656,0.0131,0.0,0.0,,0.0,0.000439,1.72,32.4,91.5,63.2
135,2974,0.491,0.3468,0.0083,0.0,0.0,,0.0011,0.000456,0.71,32.4,91.5,63.1
140,2974,0.8456,0.513,0.071,0.0,0.0,,0.0,0.000473,2.14,32.4,91.5,63.0
145,2974,0.5374,0.3632,0.004,0.0,0.0029,,0.0,0.00049,0.97,32.4,91.5,62.9
150,2974,0.5127,0.3831,0.0138,0.0,0.0,,0.0,0.0005,1.19,32.4,91.5,62.8
155,2974,0.5681,0.3873,0.008,0.0,0.0,,0.0,0.0005,0.67,32.4,91.5,63.7
160,2974,0.6541,0.4412,0.0088,0.0001,0.0,,0.0,0.0005,0.97,32.4,91.5,63.6
165,2974,0.4074,0.2923,0.0108,0.0,0.0,,0.0,0.0005,0.79,32.4,91.5,63.6
170,2974,0.5215,0.3608,0.0082,0.0004,0.0,,0.0,0.0005,0.8,32.4,91.5,63.5
175,2974,0.4871,0.3465,0.0059,0.0,0.0,,0.0,0.0005,3.05,32.4,91.5,63.4
180,2974,0.6261,0.4618,0.0325,0.0001,0.0,,0.0,0.0005,0.84,32.4,91.5,63.3
185,2974,0.5822,0.3902,0.0077,0.0,0.0,,0.0,0.0005,0.93,32.4,91.5,63.2
190,2974,0.6511,0.4487,0.0053,0.0,0.0,,0.0,0.0005,1.13,32.4,91.5,63.2
195,2974,0.6269,0.4273,0.0079,0.0,0.0,,0.0,0.0005,1.03,32.4,91.5,63.1
200,2974,0.6198,0.4636,0.0313,0.0001,0.0,,0.0,0.0005,1.72,32.4,91.5,63.0
205,2974,0.7458,0.522,0.007,0.0001,0.0,,0.0,0.0005,2.84,32.4,91.5,63.9
210,2974,0.6659,0.4869,0.0111,0.0001,0.0,,0.0,0.000499,1.74,32.4,91.5,63.8
215,2974,0.7094,0.5853,0.0075,0.0001,0.0,,0.0,0.000499,1.63,32.4,91.5,63.7
220,2974,0.7568,0.6145,0.0138,0.0845,0.0,,0.0,0.000499,41.66,32.4,91.5,63.6
225,2974,0.7025,0.5362,0.0067,0.0,0.0,,0.0,0.000499,1.73,32.4,91.5,63.6
230,2974,0.8276,0.5643,0.0054,0.0001,0.0,,0.0,0.000499,1.23,32.4,91.5,63.5
235,2974,0.9211,0.6372,0.0688,0.0001,0.0,,0.0,0.000499,1.01,32.4,91.5,63.5
240,2974,0.6559,0.5023,0.0154,0.0001,0.0,,0.0,0.000499,0.93,32.4,91.5,63.4
245,2974,0.5064,0.3958,0.0059,0.0001,0.0,,0.0,0.000499,1.18,32.4,91.5,63.4
250,2974,0.7253,0.5252,0.0061,0.0,0.0011,,0.0,0.000499,3.96,32.4,91.5,63.3
255,2974,0.6892,0.5297,0.0121,0.0001,0.0,,0.0,0.000498,1.71,32.4,91.5,63.8
260,2974,0.7791,0.5958,0.0101,0.0,0.0,,0.0,0.000498,1.66,32.4,91.5,63.7
265,2974,0.6015,0.482,0.0129,0.0,0.0,,0.0,0.000498,1.17,32.4,91.5,63.7
270,2974,0.8917,0.6391,0.0118,0.0008,0.0,,0.0,0.000498,0.89,32.4,91.5,63.7
275,2974,0.6619,0.5074,0.0146,0.0,0.0,,0.0,0.000498,35.9,32.4,91.5,63.6
280,2974,0.8852,0.6571,0.019,0.0001,0.0166,,0.0,0.000498,1.87,32.4,91.5,63.5
285,2974,0.6985,0.5453,0.0068,0.0001,0.0,,0.0,0.000497,1.13,32.4,91.5,63.5
290,2974,0.9695,0.8349,0.0064,0.0002,0.0,,0.0,0.000497,11.4,32.4,91.5,63.5
295,2974,0.7217,0.591,0.0402,0.0001,0.0472,,0.0,0.000497,1.27,32.4,91.5,63.4
300,2974,1.03,0.8703,0.0096,0.0001,0.0,,0.0,0.000497,2.38,32.4,91.5,63.4
305,2974,1.352,1.2156,0.0135,0.0,0.0,,0.0,0.000497,4.29,32.4,91.5,63.9
310,2974,0.9326,0.7145,0.01,0.0,0.0,,0.0,0.000496,1.54,32.4,91.5,63.9
315,2974,0.9866,0.7462,0.016,0.0,0.0,,0.0,0.000496,0.98,32.4,91.5,63.8
320,2974,0.9219,0.6892,0.0149,0.0001,0.0,,0.0,0.000496,6.35,32.4,91.5,63.7
325,2974,0.8118,0.624,0.0068,0.0,0.0,,0.0,0.000496,0.68,32.4,91.5,63.7
330,2974,0.7003,0.5768,0.009,0.0,0.0,,0.0,0.000495,5.58,32.4,91.5,63.7
335,2974,0.7014,0.592,0.0085,0.0,0.0,,0.0,0.000495,3.75,32.4,91.5,63.6
340,2974,1.2871,1.0327,0.0228,0.0,0.0,,0.0,0.000495,2.01,32.4,91.5,63.6
345,2974,0.708,0.5954,0.0095,0.0,0.0,,0.0,0.000495,1.14,32.4,91.5,63.6
350,2974,1.2694,1.0912,0.0626,0.004,0.0,,0.0382,0.000494,23.73,32.4,91.5,63.5
355,2974,0.8566,0.6876,0.0061,0.0017,0.0927,,0.2634,0.000494,1.08,32.4,91.5,63.9
360,2974,0.6352,0.5504,0.0096,0.0,0.0,,0.0,0.000494,1.88,32.4,91.5,63.9
365,2974,1.8021,1.0057,0.1332,6.7884,0.0041,,0.0017,0.000493,4.58,32.4,91.5,63.8
370,2974,7.2135,4.6509,2.2323,18.594,0.0017,,0.0323,0.000493,47.78,32.4,91.5,63.8
375,2974,1.9779,1.741,0.1045,0.5439,0.0033,,0.0,0.000493,9.8,32.4,91.5,63.7
380,2974,1.0355,0.8875,0.0193,0.0001,0.0098,,0.0341,0.000493,2.6,32.4,91.5,63.7
385,2974,1.0707,0.8947,0.0127,0.0672,0.0,,0.0309,0.000492,7.57,32.4,91.5,63.7
390,2974,1.8207,1.4369,0.1322,0.8913,0.0203,,0.1168,0.000492,1.72,32.4,91.5,63.6
395,2974,0.8975,0.772,0.0402,0.0,0.0008,,0.0,0.000492,2.21,32.4,91.5,63.6
400,2974,1.053,0.8884,0.0201,0.0,0.0013,,0.0,0.000491,3.18,32.4,91.5,63.6
405,2974,1.265,1.0012,0.0148,0.0,0.0016,,0.0,0.000491,5.23,32.4,91.5,64.0
410,2974,1.0336,0.777,0.0339,1.1667,0.0027,,0.0,0.000491,1.81,32.4,91.5,64.0
415,2974,1.0617,0.8761,0.0102,0.0001,0.0008,,0.0,0.00049,2.46,32.4,91.5,63.9
420,2974,1.0544,0.8765,0.0141,0.0001,0.0011,,0.0,0.00049,1.93,32.4,91.5,63.9
425,2974,1.3916,1.1638,0.0093,0.0001,0.0,,0.0,0.000489,19.76,32.4,91.5,63.9
430,2974,0.9731,0.8394,0.0086,0.0001,0.0,,0.0,0.000489,2.21,32.4,91.5,63.8
435,2974,1.4124,1.1845,0.0163,0.0001,0.0,,0.0,0.000489,1.75,32.4,91.5,63.8
440,2974,1.1185,1.0191,0.0115,0.0018,0.0002,,0.0,0.000488,1.6,32.4,91.5,63.7
445,2974,1.0571,0.9319,0.0351,0.0,0.0,,0.0,0.000488,1.42,32.4,91.5,63.7
450,2974,1.0786,0.9151,0.0071,0.0,0.0,,0.0,0.000487,1.82,32.4,91.5,63.7
455,2974,1.0779,0.9467,0.013,0.0,0.0001,,0.0,0.000487,2.08,32.4,91.5,64.0
460,2974,1.1877,1.0215,0.0124,0.0,0.0008,,0.0,0.000487,1.51,32.4,91.5,63.9
465,2974,1.2155,1.0869,0.0083,0.0,0.0,,0.0,0.000486,1.85,32.4,91.5,63.9
470,2974,1.6508,1.373,0.0553,0.0,0.0,,0.0,0.000486,4.2,32.4,91.5,63.9
475,2974,1.7542,1.5799,0.1038,0.0,0.0009,,0.0503,0.000485,1.54,32.4,91.5,63.9
480,2974,1.0271,0.9304,0.0095,0.0,0.0011,,0.0,0.000485,1.87,32.4,91.5,63.8
485,2974,1.459,1.0709,0.1937,2.182,0.0019,,0.0,0.000484,6.95,32.4,91.5,63.8
490,2974,1.6444,1.0196,0.1867,4.7504,0.0227,,0.0,0.000484,2.69,32.4,91.5,63.8
495,2974,1.143,1.0064,0.021,0.0,0.0,,0.0308,0.000483,1.73,32.4,91.5,63.7
500,2974,1.4582,1.2883,0.0163,0.0,0.0,,0.0,0.000483,2.17,32.4,91.5,63.7
505,2974,0.9772,0.8574,0.0192,0.0,0.0,,0.0,0.000483,1.87,32.4,91.5,64.0
510,2974,1.1143,0.9522,0.016,0.0,0.0,,0.0,0.000482,1.47,32.4,91.5,64.0
515,2974,1.5304,1.3523,0.036,0.0,0.0,,0.0,0.000482,1.65,32.4,91.5,64.0
520,2974,1.2381,1.1002,0.045,0.0,0.0,,0.0,0.000481,7.74,32.4,91.5,63.9
525,2974,1.3491,1.2197,0.0126,0.0,0.0018,,0.0,0.000481,1.22,32.4,91.5,63.9
530,2974,1.1136,0.9825,0.0133,0.0,0.0,,0.0,0.00048,3.79,32.4,91.5,63.9
535,2974,1.0116,0.9144,0.0143,0.0,0.0,,0.0,0.000479,3.33,32.4,91.5,63.8
540,2974,1.0222,0.905,0.0091,0.0,0.0003,,0.0,0.000479,2.71,32.4,91.5,63.8
545,2974,1.7721,1.6602,0.0576,0.0,0.001,,0.0,0.000478,1.97,32.4,91.5,63.8
550,2974,1.1209,0.9816,0.0091,0.0,0.0,,0.0,0.000478,1.8,32.4,91.5,63.8
555,2974,2.1124,1.844,0.0925,0.0,0.0,,0.0,0.000477,3.69,32.4,91.6,64.0
560,2974,1.335,1.2017,0.0201,0.0,0.014,,0.0,0.000477,2.05,32.4,91.6,64.0
565,2974,1.172,1.0639,0.0108,0.0,0.0,,0.0013,0.000476,2.49,32.4,91.6,64.0
570,2974,1.3558,1.1889,0.0106,0.0,0.0,,0.0,0.000476,6.23,32.4,91.6,63.9
575,2974,1.3854,1.2404,0.0532,0.0,0.0006,,0.0,0.000475,1.24,32.4,91.6,63.9
580,2974,1.6495,1.4488,0.008,0.0,0.0,,0.0,0.000475,9.97,32.4,91.6,63.9
585,2974,1.4817,1.3316,0.0119,0.0,0.0,,0.0,0.000474,5.27,32.4,91.6,63.9
590,2974,1.2666,1.1322,0.0114,0.0,0.0007,,0.0,0.000473,1.77,32.4,91.6,63.8
595,2974,1.0316,0.9253,0.0055,0.0,0.0,,0.0,0.000473,1.75,32.4,91.6,63.8
600,2974,1.207,1.1082,0.0145,0.0,0.0,,0.0,0.000472,4.14,32.4,91.6,63.8
605,2974,1.0788,0.9546,0.0094,0.0,0.0,,0.0,0.000472,1.63,32.4,91.6,64.0
610,2974,1.4463,1.2721,0.0078,0.0,0.0,,0.0024,0.000471,2.89,32.4,91.6,64.0
615,2974,1.2568,1.119,0.0141,0.0,0.0,,0.0,0.00047,1.35,32.4,91.6,64.0
620,2974,1.2731,1.1045,0.0105,0.0,0.0033,,0.0,0.00047,3.31,32.4,91.6,64.0
625,2974,1.2979,1.1162,0.0077,0.0,0.0,,0.0,0.000469,2.07,32.4,91.6,63.9
630,2974,1.2518,1.0729,0.0178,0.0,0.0007,,0.0,0.000468,1.61,32.4,91.6,63.9
635,2974,1.4236,1.2174,0.0139,0.0,0.0011,,0.0,0.000468,1.51,32.4,91.6,63.9
640,2974,1.1883,1.0286,0.0092,0.0,0.0,,0.0,0.000467,1.42,32.4,91.6,63.9
645,2974,1.6073,1.4628,0.0176,0.0001,0.0,,0.0,0.000467,1.35,32.4,91.6,63.8
650,2974,1.1498,1.0204,0.0149,0.0,0.0,,0.0,0.000466,1.57,32.4,91.6,63.8
655,2974,1.205,1.0682,0.0087,0.0,0.0002,,0.0,0.000465,2.02,32.4,91.6,64.0
660,2974,2.5125,2.2501,0.0826,0.0,0.0,,0.0,0.000465,2.52,32.4,91.6,64.0
665,2974,1.5164,1.3537,0.0163,0.0,0.0163,,0.0,0.000464,1.19,32.4,91.6,64.0
670,2974,1.1525,1.0439,0.0117,0.0,0.0,,0.0,0.000463,1.42,32.4,91.6,64.0
675,2974,1.9772,1.7121,0.0113,0.0,0.0,,0.0,0.000462,3.53,32.4,91.6,63.9
680,2974,1.2438,1.1139,0.0089,0.0,0.002,,0.0,0.000462,3.96,32.4,91.6,63.9
685,2974,1.3376,1.2007,0.0148,0.0,0.0,,0.0,0.000461,2.27,32.4,91.6,63.9
690,2974,1.2838,1.1404,0.0126,0.0001,0.0,,0.0,0.00046,3.23,32.4,91.6,63.9
695,2974,1.3342,1.1659,0.0075,0.0002,0.0,,0.0,0.00046,1.46,32.4,91.6,63.8
700,2974,1.0716,0.97,0.0072,0.0,0.0,,0.0,0.000459,2.11,32.4,91.6,63.8
705,2974,2.0827,1.9078,0.0596,0.0008,0.0,,0.0,0.000458,1.26,32.4,91.6,64.1
710,2974,1.3622,1.2123,0.0144,0.0,0.0,,0.0,0.000457,0.98,32.4,91.6,64.0
715,2974,1.2263,1.1245,0.0099,0.0,0.0,,0.0,0.000457,2.81,32.4,91.6,64.0
720,2974,1.3904,1.2091,0.0097,0.0,0.0,,0.0,0.000456,2.07,32.4,91.6,64.0
725,2974,1.2877,1.147,0.0075,0.0,0.0,,0.0,0.000455,1.12,32.4,91.6,64.0
730,2974,1.3834,1.2488,0.012,0.0,0.0,,0.0,0.000455,2.12,32.4,91.6,63.9
735,2974,1.3109,1.176,0.0115,0.0,0.0,,0.0,0.000454,1.25,32.4,91.6,63.9
740,2974,1.3416,1.1887,0.009,0.0,0.0004,,0.0,0.000453,1.48,32.4,91.6,63.9
745,2974,1.5222,1.3972,0.0091,0.0,0.0,,0.0,0.000452,1.47,32.4,91.6,63.9
750,2974,1.4425,1.2851,0.0153,0.0,0.0,,0.0,0.000451,2.85,32.4,91.6,63.9
755,2974,1.4846,1.272,0.0114,0.0012,0.0,,0.0,0.000451,1.66,32.4,91.6,64.0
760,2974,1.114,0.9833,0.0204,0.0003,0.0,,0.0,0.00045,1.22,32.4,91.6,64.0
