step,tensor,flip_pct,zero_to_nonzero,nonzero_to_zero,sign_flips,densify_ratio,net_density_delta,scale_drift_pct,flip_pct_delta,z2nz_delta
100,model.layers.0.self_attn.q_proj,0.0075,452,787,14,0.5743329097839899,-335,0.52,,
100,model.layers.5.self_attn.k_proj,0.0001,6,0,0,,6,0.58,,
100,model.layers.10.self_attn.v_proj,0.0001,5,1,0,5.0,4,0.67,,
100,model.layers.15.self_attn.o_proj,0.0027,365,85,0,4.294117647058823,280,0.78,,
100,model.layers.20.self_attn.o_proj,0.0088,1164,315,0,3.6952380952380954,849,0.83,,
100,model.layers.25.mlp.gate_proj,0.0039,1628,324,0,5.0246913580246915,1304,0.81,,
100,model.layers.30.mlp.up_proj,0.0094,3318,1438,0,2.3073713490959666,1880,0.87,,
100,model.layers.35.mlp.down_proj,0.0745,21737,15772,2,1.3782018767435962,5965,0.84,,
200,model.layers.0.self_attn.q_proj,0.3,22493,27833,12,0.8081414148672439,-5340,1.35,0.2925,22041
200,model.layers.5.self_attn.k_proj,0.2296,5639,3992,0,1.4125751503006012,1647,1.36,0.2295,5633
200,model.layers.10.self_attn.v_proj,0.1585,5136,1510,0,3.4013245033112582,3626,1.3,0.1584,5131
200,model.layers.15.self_attn.o_proj,0.3158,36846,16142,0,2.2826167761120058,20704,1.44,0.3131,36481
200,model.layers.20.self_attn.o_proj,0.3663,45856,15595,0,2.940429624879769,30261,1.46,0.3575,44692
200,model.layers.25.mlp.gate_proj,0.3886,152886,42686,0,3.5816426931546643,110200,1.56,0.3847,151258
200,model.layers.30.mlp.up_proj,0.2863,99531,44593,0,2.2319870831744892,54938,1.47,0.2769,96213
200,model.layers.35.mlp.down_proj,0.3335,89125,78746,7,1.1318035201788028,10379,1.38,0.259,67388
300,model.layers.0.self_attn.q_proj,1.7647,129362,166659,53,0.7762077055544555,-37297,2.11,1.4647,106869
300,model.layers.5.self_attn.k_proj,1.2704,28570,24713,0,1.1560717031521872,3857,1.87,1.0408,22931
300,model.layers.10.self_attn.v_proj,0.825,23713,10889,0,2.1777022683442007,12824,1.7,0.6665,18577
300,model.layers.15.self_attn.o_proj,1.1516,126078,67127,5,1.8782010219434804,58951,1.86,0.8358,89232
300,model.layers.20.self_attn.o_proj,1.3294,152859,70173,6,2.178316446496516,82686,1.92,0.9631,107003
300,model.layers.25.mlp.gate_proj,1.628,564986,254413,3,2.2207434368526764,310573,2.09,1.2394,412100
300,model.layers.30.mlp.up_proj,1.259,391409,242252,0,1.6157100870168255,149157,1.91,0.9727,291878
300,model.layers.35.mlp.down_proj,0.9388,236285,236199,7,1.0003640997633352,86,1.74,0.6053,147160
400,model.layers.0.self_attn.q_proj,4.0173,291745,382004,238,0.7637223693992733,-90259,2.99,2.2526,162383
400,model.layers.5.self_attn.k_proj,2.8697,61651,58712,1,1.050057909796975,2939,2.35,1.5993,33081
400,model.layers.10.self_attn.v_proj,1.9315,51327,29682,3,1.7292298362644027,21645,2.09,1.1065,27614
400,model.layers.15.self_attn.o_proj,2.3581,244166,151438,26,1.612316591608447,92728,2.24,1.2065,118088
400,model.layers.20.self_attn.o_proj,2.6342,286046,155873,19,1.8351221828026663,130173,2.31,1.3048,133187
400,model.layers.25.mlp.gate_proj,3.2521,1052098,584720,20,1.799319332330004,467378,2.49,1.6241,487112
400,model.layers.30.mlp.up_proj,2.569,749039,543990,6,1.3769352377801063,205049,2.26,1.31,357630
400,model.layers.35.mlp.down_proj,1.7723,426643,465356,9,0.9168099261640551,-38713,2.01,0.8335,190358
500,model.layers.0.self_attn.q_proj,6.2588,450781,598377,896,0.7533394498785883,-147596,3.94,2.2415,159036
500,model.layers.5.self_attn.k_proj,4.5975,95372,97445,18,0.9787264610806096,-2073,2.84,1.7278,33721
500,model.layers.10.self_attn.v_proj,3.1339,79710,51733,2,1.5407960102835714,27977,2.38,1.2024,28383
500,model.layers.15.self_attn.o_proj,3.8083,378745,260050,128,1.456431455489329,118695,2.64,1.4502,134579
