step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
320,613,0.6134,0.4362,0.0034,0.0,0.0,0.000277,0.67,31.7,88.8,52.3
325,613,0.6174,0.4158,0.0025,0.0,0.0,0.000271,0.82,31.7,88.8,52.2
330,613,0.5917,0.4034,0.0024,0.0,0.0,0.000265,0.73,31.7,88.8,52.2
335,613,0.8459,0.6007,0.0088,0.0,0.0,0.000259,1.02,31.7,88.8,52.1
340,613,0.5955,0.4423,0.0065,0.0,0.0,0.000253,2.41,31.7,88.8,52.1
345,613,0.8992,0.6005,0.0151,0.0,0.0,0.000247,0.62,31.7,88.8,52.1
350,613,0.5477,0.3944,0.0039,0.0,0.0,0.000241,0.58,31.7,88.8,52.0
355,613,0.5278,0.3735,0.0045,0.0,0.0,0.000235,0.42,31.7,88.8,52.4
360,613,0.4966,0.3474,0.004,0.0,0.0,0.000229,1.84,31.7,88.8,52.4
365,613,0.4657,0.3395,0.0015,0.0,0.0,0.000223,0.65,31.7,88.8,52.3
370,613,0.7998,0.5231,0.0157,0.0,0.0,0.000217,0.51,31.7,88.8,52.3
375,613,0.7316,0.4829,0.0055,0.0,0.0,0.000211,0.59,31.7,88.8,52.2
380,613,0.6101,0.4272,0.0044,0.0,0.0,0.000205,0.82,31.7,88.8,52.2
385,613,0.8002,0.5014,0.0035,0.0,0.0,0.0002,0.99,31.7,88.8,52.1
390,613,0.6583,0.4379,0.0023,0.0,0.0,0.000194,1.03,31.7,88.8,52.1
395,613,0.5412,0.3924,0.0027,0.0,0.0,0.000188,0.41,31.7,88.8,52.1
400,613,0.9243,0.6115,0.0092,0.0,0.0,0.000183,0.55,31.7,88.8,52.0
405,613,0.5754,0.3794,0.0033,0.0,0.0,0.000177,0.37,31.7,88.8,52.4
410,613,1.0866,0.6904,0.0175,0.0,0.0,0.000172,0.83,31.7,88.8,52.4
415,613,0.5405,0.3833,0.0033,0.0,0.0,0.000166,0.64,31.7,88.8,52.4
420,613,0.5148,0.3547,0.0101,0.0,0.0,0.000161,1.28,31.7,88.8,52.3
425,613,0.7054,0.4807,0.0025,0.0,0.0,0.000156,0.89,31.7,88.8,52.3
430,613,0.8172,0.5254,0.0176,0.0,0.0,0.000151,0.78,31.7,88.8,52.3
435,613,0.7527,0.4948,0.0076,0.0,0.0,0.000146,0.49,31.7,88.8,52.2
440,613,0.6031,0.4003,0.004,0.0,0.0,0.000141,0.6,31.7,88.8,52.2
445,613,0.6386,0.4259,0.0025,0.0,0.0,0.000136,0.38,31.7,88.8,52.2
450,613,0.5817,0.3943,0.0034,0.0,0.0,0.000131,0.6,31.7,88.8,52.1
455,613,0.5612,0.3894,0.0033,0.0,0.0,0.000127,0.6,31.7,88.8,52.4
460,613,0.6164,0.4137,0.0028,0.0,0.0,0.000122,0.42,31.7,88.8,52.4
465,613,0.4669,0.3262,0.0045,0.0,0.0,0.000118,0.42,31.7,88.8,52.4
470,613,0.5573,0.3811,0.0003,0.0,0.0,0.000114,0.57,31.7,88.8,52.3
475,613,0.6987,0.4443,0.004,0.0,0.0,0.000109,0.82,31.7,88.8,52.3
480,613,0.8456,0.531,0.01,0.0,0.0,0.000105,0.51,31.7,88.8,52.3
485,613,0.6055,0.4058,0.0029,0.0,0.0,0.000101,0.91,31.7,88.8,52.2
490,613,0.5982,0.3953,0.0029,0.0,0.0,9.76e-05,2.81,31.7,88.8,52.2
495,613,0.4634,0.3241,0.0017,0.0,0.0,9.4e-05,0.37,31.7,88.8,52.2
500,613,0.5475,0.3687,0.0016,0.0,0.0,9.04e-05,0.74,31.7,88.8,52.1
505,613,0.681,0.4318,0.0022,0.0,0.0,8.7e-05,1.96,31.7,88.8,52.4
