tensor,layer,kind,numel,neg,zero,pos,neg_frac,zero_frac,pos_frac
model.layers.0.self_attn.q_proj,0,q_proj,16777216,5469544,5837799,5469873,0.32601022720336914,0.3479599356651306,0.32602983713150024
model.layers.5.self_attn.k_proj,5,k_proj,4194304,1346900,1496457,1350947,0.32112598419189453,0.3567831516265869,0.32209086418151855
model.layers.10.self_attn.v_proj,10,v_proj,4194304,1297697,1596776,1299831,0.30939507484436035,0.38070106506347656,0.3099038600921631
model.layers.15.self_attn.o_proj,15,o_proj,16777216,5180888,6418096,5178232,0.308804988861084,0.38254833221435547,0.30864667892456055
model.layers.20.self_attn.o_proj,20,o_proj,16777216,5103130,6573093,5100993,0.30417025089263916,0.3917868733406067,0.30404287576675415
model.layers.25.mlp.gate_proj,25,gate_proj,50331648,15354919,19599938,15376791,0.3050748308499654,0.38941578070322674,0.30550938844680786
model.layers.30.mlp.up_proj,30,up_proj,50331648,15896886,18542552,15892210,0.31584274768829346,0.368407408396403,0.31574984391530353
model.layers.35.mlp.down_proj,35,down_proj,50331648,16593046,17145349,16593253,0.3296742041905721,0.3406474788983663,0.3296783169110616
