step,total_steps,loss,kd_kl,stop_anchor,steer,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
355,613,0.5234,0.3702,0.0026,0.0,0.000235,0.43,31.6,88.7,50.9
360,613,0.5008,0.3435,0.0044,0.0,0.000229,0.65,31.6,88.7,50.9
365,613,0.4841,0.3581,0.0039,0.0,0.000223,0.58,31.6,88.7,50.8
370,613,0.814,0.5103,0.0147,0.0,0.000217,0.48,31.6,88.7,50.8
375,613,0.7383,0.4787,0.0029,0.0,0.000211,0.87,31.6,88.7,50.7
380,613,0.6084,0.4187,0.0042,0.0,0.000205,0.68,31.6,88.7,50.7
385,613,0.7954,0.4883,0.0058,0.0,0.0002,0.96,31.6,88.7,50.7
390,613,0.6281,0.4027,0.0024,0.0,0.000194,0.78,31.6,88.7,50.6
395,613,0.5303,0.3708,0.0049,0.0,0.000188,0.34,31.6,88.7,50.6
400,613,0.905,0.5687,0.0118,0.0,0.000183,0.64,31.6,88.7,50.5
405,613,0.5743,0.3775,0.0059,0.0,0.000177,0.34,31.6,88.7,51.0
410,613,1.0338,0.5936,0.0129,0.0,0.000172,0.57,31.6,88.7,50.9
415,613,0.5325,0.3687,0.0081,0.0,0.000166,0.53,31.6,88.7,50.9
420,613,0.5728,0.4166,0.0096,0.0,0.000161,0.91,31.6,88.7,50.8
425,613,0.6886,0.4492,0.0041,0.0,0.000156,0.83,31.6,88.7,50.8
430,613,0.7877,0.4707,0.0086,0.0,0.000151,0.76,31.6,88.7,50.8
435,613,0.7232,0.4468,0.0118,0.0,0.000146,0.44,31.6,88.7,50.7
440,613,0.6097,0.4075,0.0069,0.0,0.000141,0.57,31.6,88.7,50.7
445,613,0.6329,0.4179,0.0041,0.0,0.000136,0.3,31.6,88.7,50.7
450,613,0.5667,0.3704,0.002,0.0,0.000131,0.38,31.6,88.7,50.6
455,613,0.5573,0.3738,0.0052,0.0,0.000127,0.65,31.6,88.7,50.9
460,613,0.6081,0.3996,0.0023,0.0,0.000122,0.41,31.6,88.7,50.9
465,613,0.4481,0.3023,0.0038,0.0,0.000118,0.39,31.6,88.7,50.9
470,613,0.5471,0.3673,0.0017,0.0,0.000114,0.49,31.6,88.7,50.8
475,613,0.692,0.4289,0.005,0.0,0.000109,0.76,31.6,88.7,50.8
480,613,0.8079,0.4681,0.0055,0.0,0.000105,0.44,31.6,88.7,50.8
485,613,0.5995,0.393,0.0026,0.0,0.000101,0.72,31.6,88.7,50.7
490,613,0.5901,0.383,0.0039,0.0,9.76e-05,0.63,31.6,88.7,50.7
495,613,0.4557,0.3115,0.0042,0.0,9.4e-05,0.34,31.6,88.7,50.7
500,613,0.5462,0.3605,0.0025,0.0,9.04e-05,0.43,31.6,88.7,50.6
505,613,0.676,0.4128,0.0035,0.0,8.7e-05,0.59,31.6,88.7,51.0
510,613,0.5203,0.3239,0.0026,0.0,8.38e-05,0.51,31.6,88.7,50.9
515,613,0.7529,0.4973,0.0169,0.0,8.07e-05,0.32,31.6,88.7,50.9
520,613,0.5732,0.3629,0.006,0.0,7.77e-05,0.49,31.6,88.7,50.9
525,613,0.644,0.382,0.0097,0.0,7.48e-05,0.55,31.6,88.7,50.8
