tensor,layer,kind,numel,neg,zero,pos,neg_frac,zero_frac,pos_frac
model.layers.0.self_attn.q_proj,0,q_proj,16777216,5467533,5841443,5468240,0.32589036226272583,0.34817713499069214,0.32593250274658203
model.layers.5.self_attn.k_proj,5,k_proj,4194304,1347007,1496568,1350729,0.3211514949798584,0.3568096160888672,0.3220388889312744
model.layers.10.self_attn.v_proj,10,v_proj,4194304,1297962,1596315,1300027,0.30945825576782227,0.38059115409851074,0.309950590133667
model.layers.15.self_attn.o_proj,15,o_proj,16777216,5180715,6418167,5178334,0.30879467725753784,0.3825525641441345,0.30865275859832764
model.layers.20.self_attn.o_proj,20,o_proj,16777216,5103389,6574158,5099669,0.304185688495636,0.3918503522872925,0.30396395921707153
model.layers.25.mlp.gate_proj,25,gate_proj,50331648,15357152,19596346,15378150,0.30511919657389325,0.38934441407521564,0.3055363893508911
model.layers.30.mlp.up_proj,30,up_proj,50331648,15896429,18543028,15892191,0.3158336679140727,0.36841686566670734,0.31574946641921997
model.layers.35.mlp.down_proj,35,down_proj,50331648,16589641,17150746,16591261,0.329606552918752,0.3407547076543172,0.3296387394269307
