step,tensor,flip_pct,zero_to_nonzero,nonzero_to_zero,sign_flips,densify_ratio,net_density_delta,scale_drift_pct,flip_pct_delta,z2nz_delta
100,model.layers.0.self_attn.q_proj,0.1303,9345,11913,602,0.7844371694787208,-2568,1.2,,
100,model.layers.5.self_attn.k_proj,0.0884,2291,1415,0,1.6190812720848056,876,1.17,,
100,model.layers.10.self_attn.v_proj,0.0714,2417,579,0,4.174438687392056,1838,1.15,,
100,model.layers.15.self_attn.o_proj,0.1582,19757,6785,0,2.911864406779661,12972,1.31,,
100,model.layers.20.self_attn.o_proj,0.1954,25635,7147,0,3.5868196446061282,18488,1.3,,
100,model.layers.25.mlp.gate_proj,0.257,105061,24313,0,4.321186196684901,80748,1.43,,
100,model.layers.30.mlp.up_proj,0.219,77179,33050,0,2.335219364599092,44129,1.37,,
100,model.layers.35.mlp.down_proj,0.3904,102087,94403,7,1.0813957183564082,7684,1.24,,
200,model.layers.0.self_attn.q_proj,0.991,72783,92973,514,0.7828401794069246,-20190,1.82,0.8607,63438
200,model.layers.5.self_attn.k_proj,0.7145,16653,13315,0,1.250694705219677,3338,1.68,0.6261,14362
200,model.layers.10.self_attn.v_proj,0.4619,13992,5383,0,2.5992940739364667,8609,1.52,0.3905,11575
200,model.layers.15.self_attn.o_proj,0.7127,82156,37406,2,2.1963321392290007,44750,1.69,0.5545,62399
200,model.layers.20.self_attn.o_proj,0.852,103598,39346,1,2.6329995425202055,64252,1.73,0.6566,77963
200,model.layers.25.mlp.gate_proj,1.3556,483828,198479,0,2.43767854533729,285349,2.0,1.0986,378767
200,model.layers.30.mlp.up_proj,1.0084,320420,187108,1,1.7124869059580563,133312,1.81,0.7894,243241
200,model.layers.35.mlp.down_proj,0.7974,200902,200413,10,1.0024399614795447,489,1.59,0.407,98815
300,model.layers.0.self_attn.q_proj,2.0109,147268,189493,616,0.7771685497617327,-42225,2.26,1.0199,74485
300,model.layers.5.self_attn.k_proj,1.4555,32680,28368,0,1.1520022560631697,4312,1.96,0.741,16027
300,model.layers.10.self_attn.v_proj,0.9882,28061,13386,0,2.096294636187061,14675,1.76,0.5263,14069
300,model.layers.15.self_attn.o_proj,1.2689,141197,71689,3,1.9695769225404176,69508,1.92,0.5562,59041
300,model.layers.20.self_attn.o_proj,1.4941,173672,76992,4,2.255714879467997,96680,1.98,0.6421,70074
300,model.layers.25.mlp.gate_proj,2.3686,802072,390069,4,2.0562310770658523,412003,2.29,1.013,318244
300,model.layers.30.mlp.up_proj,1.7801,540976,354952,2,1.5240821294146814,186024,2.06,0.7717,220556
300,model.layers.35.mlp.down_proj,1.1903,293937,305163,11,0.9632131025058739,-11226,1.78,0.3929,93035
400,model.layers.0.self_attn.q_proj,2.6794,196084,252814,635,0.7756057813254013,-56730,2.52,0.6685,48816
400,model.layers.5.self_attn.k_proj,2.0808,45391,41885,0,1.0837053837889459,3506,2.14,0.6253,12711
400,model.layers.10.self_attn.v_proj,1.3668,37650,19679,0,1.9132069718989786,17971,1.89,0.3786,9589
400,model.layers.15.self_attn.o_proj,1.6918,183380,100452,3,1.825548520686497,82928,2.05,0.4229,42183
400,model.layers.20.self_attn.o_proj,1.9945,226345,108260,10,2.0907537409939034,118085,2.13,0.5004,52673
400,model.layers.25.mlp.gate_proj,3.146,1033805,549613,7,1.8809689727135275,484192,2.46,0.7774,231733
400,model.layers.30.mlp.up_proj,2.3837,704814,494949,2,1.4240133831970567,209865,2.21,0.6036,163838
400,model.layers.35.mlp.down_proj,1.4846,361905,385326,16,0.9392177013749397,-23421,1.89,0.2943,67968
500,model.layers.0.self_attn.q_proj,3.0175,221409,284176,671,0.779126316085806,-62767,2.64,0.3381,25325
500,model.layers.5.self_attn.k_proj,2.3521,50853,47803,0,1.0638035269752943,3050,2.23,0.2713,5462
500,model.layers.10.self_attn.v_proj,1.5568,42238,23060,0,1.8316565481352993,19178,1.96,0.19,4588
500,model.layers.15.self_attn.o_proj,1.8768,201944,112923,3,1.7883336432790486,89021,2.11,0.185,18564
500,model.layers.20.self_attn.o_proj,2.2182,249256,122886,11,2.0283514802337126,126370,2.19,0.2237,22911
500,model.layers.25.mlp.gate_proj,3.5402,1148337,633506,14,1.8126694932644678,514831,2.54,0.3942,114532
500,model.layers.30.mlp.up_proj,2.696,788445,568478,6,1.3869402158043056,219967,2.28,0.3123,83631
500,model.layers.35.mlp.down_proj,1.6351,396128,426840,15,0.9280479805079187,-30712,1.95,0.1505,34223
600,model.layers.0.self_attn.q_proj,3.1327,229859,295027,692,0.7791117423151102,-65168,2.69,0.1152,8450
600,model.layers.5.self_attn.k_proj,2.4457,52790,49788,0,1.0602956535711416,3002,2.25,0.0936,1937
600,model.layers.10.self_attn.v_proj,1.62,43916,24032,0,1.8273968042609854,19884,1.98,0.0632,1678
600,model.layers.15.self_attn.o_proj,1.9212,206083,116227,7,1.7731077976717975,89856,2.12,0.0444,4139
600,model.layers.20.self_attn.o_proj,2.2732,254610,126763,13,2.008551391178814,127847,2.21,0.055,5354
600,model.layers.25.mlp.gate_proj,3.682,1188565,664626,16,1.788321552271503,523939,2.56,0.1418,40228
600,model.layers.30.mlp.up_proj,2.8014,816198,593789,5,1.374558976336712,222409,2.31,0.1054,27753
600,model.layers.35.mlp.down_proj,1.6817,406653,439741,20,0.9247557084738517,-33088,1.96,0.0466,10525
700,model.layers.0.self_attn.q_proj,3.1616,232109,297622,695,0.7798785036052442,-65513,2.7,0.0289,2250
700,model.layers.5.self_attn.k_proj,2.4615,53159,50084,0,1.0613968532864788,3075,2.25,0.0158,369
700,model.layers.10.self_attn.v_proj,1.633,44252,24241,0,1.825502248257085,20011,1.99,0.013,336
