step,tensor,flip_pct,zero_to_nonzero,nonzero_to_zero,sign_flips,densify_ratio,net_density_delta,scale_drift_pct,flip_pct_delta,z2nz_delta
700,model.layers.15.self_attn.o_proj,1.9177,205644,116087,6,1.7714645050694737,89557,2.12,-0.0035,-439
700,model.layers.20.self_attn.o_proj,2.2751,254830,126862,10,2.0087181346660152,127968,2.21,0.0019,220
700,model.layers.25.mlp.gate_proj,3.7159,1197980,672267,19,1.7820003064258694,525713,2.57,0.0339,9415
700,model.layers.30.mlp.up_proj,2.8302,823631,600864,5,1.3707444613090483,222767,2.31,0.0288,7433
700,model.layers.35.mlp.down_proj,1.6924,408946,442860,19,0.9234204940613286,-33914,1.97,0.0107,2293
743,model.layers.0.self_attn.q_proj,3.1693,232514,298508,697,0.7789204979431037,-65994,2.7,0.0077,405
743,model.layers.5.self_attn.k_proj,2.4679,53272,50240,0,1.0603503184713376,3032,2.25,0.0064,113
743,model.layers.10.self_attn.v_proj,1.6338,44282,24244,0,1.8265137766045207,20038,1.99,0.0008,30
743,model.layers.15.self_attn.o_proj,1.9154,205524,115830,5,1.7743589743589743,89694,2.12,-0.0023,-120
743,model.layers.20.self_attn.o_proj,2.2714,254236,126826,11,2.0046047340450697,127410,2.21,-0.0037,-594
743,model.layers.25.mlp.gate_proj,3.7248,1200472,674282,19,1.7803708240765732,526190,2.57,0.0089,2492
743,model.layers.30.mlp.up_proj,2.8353,825235,601828,5,1.3712140345746626,223407,2.31,0.0051,1604
743,model.layers.35.mlp.down_proj,1.6945,409416,443458,19,0.923235120349616,-34042,1.97,0.0021,470
