tensor,layer,kind,numel,neg,zero,pos,neg_frac,zero_frac,pos_frac
model.layers.0.self_attn.q_proj,0,q_proj,16777216,5459564,5857009,5460643,0.32541537284851074,0.34910494089126587,0.3254796862602234
model.layers.5.self_attn.k_proj,5,k_proj,4194304,1346810,1496889,1350605,0.3211045265197754,0.3568861484527588,0.3220093250274658
model.layers.10.self_attn.v_proj,10,v_proj,4194304,1300114,1592137,1302053,0.30997133255004883,0.3795950412750244,0.31043362617492676
model.layers.15.self_attn.o_proj,15,o_proj,16777216,5189128,6401687,5186401,0.3092961311340332,0.3815702795982361,0.3091335892677307
model.layers.20.self_attn.o_proj,20,o_proj,16777216,5113808,6551187,5112221,0.3048067092895508,0.390481173992157,0.30471211671829224
model.layers.25.mlp.gate_proj,25,gate_proj,50331648,15413372,19482439,15435837,0.30623618761698407,0.38708128531773883,0.3066825270652771
model.layers.30.mlp.up_proj,30,up_proj,50331648,15914532,18507860,15909256,0.3161933422088623,0.3677181402842204,0.3160885175069173
model.layers.35.mlp.down_proj,35,down_proj,50331648,16577967,17174010,16579671,0.32937461137771606,0.34121692180633545,0.3294084668159485
