step,total_steps,loss,kd_kl,stop_anchor,steer,steer_rep,rep_kl,rep_traj,lr,grad_norm,mem_gib,mem_peak_gib,s_per_step
250,743,0.566,0.4008,0.0043,0.0,0.0,,0.0,0.000406,0.64,32.4,91.6,313.3
255,743,0.5797,0.4018,0.016,0.0001,0.0,,0.0,0.000402,0.42,32.4,91.6,313.7
260,743,0.6553,0.4424,0.004,0.0,0.0,,0.0,0.000398,0.45,32.4,91.6,313.6
265,743,0.5078,0.3589,0.0044,0.0,0.0,,0.0,0.000394,0.37,32.4,91.6,313.6
270,743,0.5142,0.3607,0.0056,0.0,0.0,,0.0,0.00039,0.44,32.4,91.6,313.5
275,743,0.5761,0.3862,0.0039,0.0,0.0,,0.0,0.000385,0.65,32.4,91.6,313.3
280,743,0.5198,0.3588,0.0042,0.0,0.0,,0.0,0.000381,0.42,32.4,91.6,313.2
285,743,0.5047,0.3557,0.0045,0.0,0.0,,0.0,0.000376,0.37,32.4,91.6,313.2
290,743,0.5438,0.3736,0.0064,0.0,0.0,,0.0,0.000372,0.49,32.4,91.6,313.1
295,743,0.5501,0.3792,0.0042,0.0,0.0,,0.0,0.000367,0.41,32.4,91.6,313.0
300,743,0.4453,0.3206,0.0053,0.0,0.0,,0.0,0.000363,0.39,32.4,91.6,312.9
305,743,0.5748,0.3846,0.0035,0.0,0.0,,0.0,0.000358,1.24,32.4,91.6,313.5
310,743,0.4818,0.3347,0.0046,0.0,0.0,,0.0,0.000353,0.3,32.4,91.6,313.5
315,743,0.5043,0.3476,0.0043,0.0,0.0,,0.0,0.000349,0.43,32.4,91.6,313.4
320,743,0.4816,0.3367,0.0042,0.0,0.0,,0.0,0.000344,0.27,32.4,91.6,313.3
325,743,0.5162,0.3591,0.0043,0.0,0.0,,0.0,0.000339,0.27,32.4,91.6,313.3
330,743,0.5144,0.3468,0.0036,0.0,0.1112,,0.0,0.000334,0.39,32.4,91.6,313.3
335,743,0.5176,0.3646,0.0037,0.0,0.0,,0.0,0.00033,0.42,32.4,91.6,313.2
340,743,0.5108,0.3582,0.0039,0.0,0.0232,,0.0544,0.000325,0.81,32.4,91.6,313.1
345,743,0.4755,0.3371,0.0036,0.0,0.0071,,0.0033,0.00032,0.35,32.4,91.6,313.2
350,743,0.4912,0.3433,0.0033,0.0,0.0,,0.0,0.000315,0.33,32.4,91.6,313.1
355,743,0.6332,0.4753,0.0233,0.0,0.0001,,0.0,0.00031,2.33,32.4,91.6,313.5
360,743,0.6353,0.4513,0.0585,0.0,0.0,,0.0,0.000305,0.47,32.4,91.6,313.4
365,743,0.5227,0.3623,0.0056,0.0,0.0,,0.0,0.0003,0.31,32.4,91.6,313.4
370,743,0.5659,0.3984,0.0071,0.0,0.0,,0.0,0.000295,0.35,32.4,91.6,313.4
375,743,0.518,0.3566,0.0038,0.0,0.0,,0.0,0.00029,0.27,32.4,91.6,313.3
380,743,0.4962,0.3457,0.004,0.0,0.0,,0.0,0.000285,0.27,32.4,91.6,313.2
385,743,0.5277,0.3641,0.004,0.0,0.0,,0.0,0.00028,0.4,32.4,91.6,313.2
390,743,0.5035,0.3489,0.0033,0.0,0.0,,0.0,0.000275,0.5,32.4,91.6,313.2
395,743,0.4706,0.3261,0.0034,0.0,0.0,,0.0,0.00027,0.3,32.4,91.6,313.1
400,743,0.4608,0.3245,0.0057,0.0,0.0,,0.0,0.000265,0.32,32.4,91.6,313.0
405,743,0.5374,0.3598,0.0073,0.0,0.0,,0.0,0.00026,0.28,32.4,91.6,313.9
410,743,0.4368,0.3053,0.0033,0.0,0.0,,0.0,0.000255,0.24,32.4,91.6,313.9
415,743,0.4821,0.3285,0.0041,0.0,0.0,,0.0,0.00025,0.36,32.4,91.6,313.8
420,743,0.4467,0.3066,0.0033,0.0,0.0,,0.0,0.000245,0.34,32.4,91.6,313.7
425,743,0.473,0.323,0.0036,0.0,0.0,,0.0084,0.00024,0.22,32.4,91.6,313.7
430,743,0.4643,0.3155,0.0045,0.0,0.0,,0.0,0.000235,0.25,32.4,91.6,313.6
435,743,0.4623,0.3101,0.0025,0.0,0.0,,0.0,0.00023,0.28,32.4,91.6,313.5
440,743,0.4983,0.3424,0.0035,0.0,0.0,,0.0,0.000225,0.39,32.4,91.6,313.4
445,743,0.4742,0.321,0.0022,0.0,0.0,,0.0,0.00022,0.31,32.4,91.6,313.4
450,743,0.5708,0.3795,0.005,0.0,0.0,,0.0,0.000216,0.34,32.4,91.6,313.3
455,743,0.541,0.3721,0.0049,0.0,0.0,,0.0,0.000211,0.21,32.4,91.6,313.5
460,743,0.4587,0.3125,0.0037,0.0,0.0,,0.0,0.000206,0.25,32.4,91.6,313.5
465,743,0.4982,0.328,0.0034,0.0,0.0,,0.0,0.000201,0.45,32.4,91.6,313.4
470,743,0.4297,0.2934,0.0023,0.0,0.0,,0.0,0.000197,0.22,32.4,91.6,313.3
475,743,0.5565,0.3675,0.0042,0.0,0.0,,0.0,0.000192,0.29,32.4,91.6,313.3
480,743,0.4339,0.2951,0.0026,0.0,0.0,,0.0,0.000187,0.25,32.4,91.6,313.2
485,743,0.5136,0.3371,0.004,0.0,0.0,,0.0,0.000183,0.23,32.4,91.6,313.2
490,743,0.466,0.3178,0.0027,0.0,0.0,,0.0,0.000178,0.26,32.4,91.6,313.1
495,743,0.5035,0.3277,0.0049,0.0,0.0,,0.0,0.000174,0.29,32.4,91.6,313.1
500,743,0.4235,0.2828,0.0021,0.0,0.0,,0.0,0.000169,0.36,32.4,91.6,313.0
505,743,0.4618,0.3074,0.0026,0.0,0.0,,0.0,0.000165,0.36,32.4,91.6,313.4
510,743,0.4038,0.2679,0.0028,0.0,0.0,,0.0,0.00016,0.24,32.4,91.6,313.3
515,743,0.463,0.3031,0.0029,0.0,0.0,,0.0,0.000156,0.31,32.4,91.6,313.2
520,743,0.4245,0.2794,0.0031,0.0,0.0,,0.0,0.000152,0.22,32.4,91.6,313.1
525,743,0.5123,0.3314,0.0046,0.0,0.0,,0.0,0.000148,0.23,32.4,91.6,313.1
530,743,0.4389,0.2887,0.0025,0.0,0.0,,0.0,0.000144,0.21,32.4,91.6,313.0
535,743,0.4229,0.2806,0.0029,0.0,0.0,,0.0,0.00014,0.23,32.4,91.6,312.9
540,743,0.4536,0.2986,0.0037,0.0,0.0,,0.0,0.000136,0.27,32.4,91.6,312.8
545,743,0.4817,0.315,0.0026,0.0,0.0,,0.0,0.000132,0.28,32.4,91.6,312.8
550,743,0.3772,0.2576,0.0038,0.0,0.0,,0.0,0.000128,0.21,32.4,91.6,312.7
555,743,0.4478,0.2958,0.003,0.0,0.0,,0.0,0.000124,0.23,32.4,91.6,313.0
560,743,0.4554,0.2963,0.0046,0.0,0.0,,0.0,0.000121,0.24,32.4,91.6,312.9
565,743,0.3945,0.258,0.0032,0.0,0.0,,0.0,0.000117,0.22,32.4,91.6,313.0
570,743,0.4422,0.2883,0.003,0.0,0.0,,0.0,0.000113,3.0,32.4,91.6,312.9
575,743,0.4337,0.2773,0.0025,0.0,0.0,,0.0,0.00011,0.22,32.4,91.6,312.9
580,743,0.4026,0.273,0.0027,0.0,0.0,,0.0,0.000107,0.23,32.4,91.6,312.8
585,743,0.3764,0.2527,0.0028,0.0,0.0,,0.0,0.000103,0.2,32.4,91.6,312.8
590,743,0.3898,0.2604,0.0033,0.0,0.0,,0.0,0.0001,0.26,32.4,91.6,312.8
595,743,0.3872,0.2613,0.003,0.0,0.0,,0.0,9.71e-05,0.21,32.4,91.6,312.7
600,743,0.4196,0.2801,0.0026,0.0,0.0,,0.0,9.4e-05,0.33,32.4,91.6,312.7
605,743,0.413,0.2699,0.0028,0.0,0.0,,0.0,9.11e-05,0.24,32.4,91.6,313.2
610,743,0.3808,0.2521,0.0024,0.0,0.0,,0.0,8.83e-05,0.22,32.4,91.6,313.4
615,743,0.4158,0.2745,0.0027,0.0,0.0,,0.0,8.55e-05,0.24,32.4,91.6,313.3
620,743,0.4458,0.2871,0.0028,0.0,0.0,,0.0,8.29e-05,0.25,32.4,91.6,313.3
625,743,0.4644,0.3001,0.0042,0.0,0.0,,0.0,8.03e-05,0.25,32.4,91.6,313.3
630,743,0.4798,0.3001,0.0026,0.0,0.0,,0.0,7.79e-05,0.23,32.4,91.6,313.2
635,743,0.4818,0.304,0.004,0.0,0.0,,0.0,7.55e-05,0.2,32.4,91.6,313.2
640,743,0.4493,0.2934,0.0027,0.0,0.0,,0.0,7.32e-05,0.22,32.4,91.6,313.1
645,743,0.4393,0.2845,0.0037,0.0,0.0,,0.0,7.11e-05,0.25,32.4,91.6,313.1
650,743,0.4047,0.2638,0.0038,0.0,0.0,,0.0,6.9e-05,0.2,32.4,91.6,313.1
655,743,0.3704,0.2405,0.0026,0.0,0.0,,0.0,6.7e-05,0.19,32.4,91.6,313.3
660,743,0.4696,0.2873,0.0039,0.0,0.0,,0.0,6.52e-05,0.23,32.4,91.6,313.2
665,743,0.3904,0.2528,0.0028,0.0,0.0,,0.0,6.34e-05,0.22,32.4,91.6,313.2
670,743,0.3655,0.2386,0.0028,0.0,0.0,,0.0,6.18e-05,0.22,32.4,91.6,313.2
675,743,0.364,0.2365,0.0036,0.0,0.0,,0.0,6.02e-05,0.21,32.4,91.6,313.1
680,743,0.3464,0.2312,0.0024,0.0,0.0,,0.0,5.88e-05,0.2,32.4,91.6,313.1
685,743,0.3673,0.2374,0.003,0.0,0.0,,0.0,5.75e-05,0.17,32.4,91.6,313.1
690,743,0.3797,0.2492,0.0028,0.0,0.0,,0.0,5.62e-05,0.24,32.4,91.6,313.0
695,743,0.3693,0.2423,0.0027,0.0,0.0,,0.0,5.51e-05,0.21,32.4,91.6,313.0
700,743,0.4042,0.2597,0.0033,0.0,0.0,,0.0,5.41e-05,0.3,32.4,91.6,312.9
705,743,0.3678,0.2404,0.003,0.0,0.0,,0.0,5.32e-05,0.18,32.4,91.6,313.2
710,743,0.4397,0.2812,0.0031,0.0,0.0,,0.0,5.24e-05,0.18,32.4,91.6,313.1
715,743,0.4468,0.2771,0.0033,0.0,0.0,,0.0,5.17e-05,0.21,32.4,91.6,313.1
720,743,0.3871,0.2508,0.0021,0.0,0.0,,0.0,5.12e-05,0.21,32.4,91.6,313.0
725,743,0.386,0.2492,0.0024,0.0,0.0,,0.0,5.07e-05,0.21,32.4,91.6,313.0
730,743,0.4066,0.2575,0.0028,0.0,0.0,,0.0,5.04e-05,0.21,32.4,91.6,313.0
735,743,0.4045,0.2601,0.0033,0.0,0.0,,0.0,5.01e-05,0.76,32.4,91.6,313.0
740,743,0.4172,0.268,0.0027,0.0,0.0,,0.0,5e-05,0.2,32.4,91.6,312.9
