tensor,layer,kind,numel,neg,zero,pos,neg_frac,zero_frac,pos_frac
model.layers.0.self_attn.q_proj,0,q_proj,16777216,5468939,5836139,5472138,0.32597416639328003,0.34786099195480347,0.3261648416519165
model.layers.5.self_attn.k_proj,5,k_proj,4194304,1346515,1496678,1351111,0.32103419303894043,0.35683584213256836,0.3221299648284912
model.layers.10.self_attn.v_proj,10,v_proj,4194304,1297870,1596704,1299730,0.3094363212585449,0.38068389892578125,0.30987977981567383
model.layers.15.self_attn.o_proj,15,o_proj,16777216,5179573,6420595,5177048,0.30872660875320435,0.38269728422164917,0.3085761070251465
model.layers.20.self_attn.o_proj,20,o_proj,16777216,5102637,6575020,5099559,0.3041408658027649,0.39190173149108887,0.30395740270614624
model.layers.25.mlp.gate_proj,25,gate_proj,50331648,15348502,19611789,15371357,0.30494733651479083,0.38965123891830444,0.3054014245669047
model.layers.30.mlp.up_proj,30,up_proj,50331648,15893097,18549847,15888704,0.31576746702194214,0.3685523470242818,0.31568018595377606
model.layers.35.mlp.down_proj,35,down_proj,50331648,16591888,17145766,16593994,0.3296511967976888,0.34065576394399005,0.3296930392583211
