step,tensor,flip_pct,zero_to_nonzero,nonzero_to_zero,sign_flips,densify_ratio,net_density_delta,scale_drift_pct,flip_pct_delta,z2nz_delta
100,model.layers.0.self_attn.q_proj,0.1596,11500,15098,186,0.7616902901046496,-3598,1.22,,
100,model.layers.5.self_attn.k_proj,0.1302,3303,2159,0,1.5298749421028255,1144,1.23,,
100,model.layers.10.self_attn.v_proj,0.0704,2416,535,0,4.51588785046729,1881,1.17,,
100,model.layers.15.self_attn.o_proj,0.1231,15284,5370,0,2.8461824953445065,9914,1.27,,
100,model.layers.20.self_attn.o_proj,0.1664,21410,6499,0,3.2943529773811355,14911,1.28,,
100,model.layers.25.mlp.gate_proj,0.1237,52632,9632,0,5.464285714285714,43000,1.32,,
100,model.layers.30.mlp.up_proj,0.1071,39280,14623,0,2.6861793065718387,24657,1.28,,
100,model.layers.35.mlp.down_proj,0.2527,67651,59557,0,1.135903420252867,8094,1.24,,
200,model.layers.0.self_attn.q_proj,0.9644,69750,91936,119,0.758679951270449,-22186,1.77,0.8048,58250
200,model.layers.5.self_attn.k_proj,0.7422,17177,13955,0,1.2308849874596919,3222,1.66,0.612,13874
200,model.layers.10.self_attn.v_proj,0.449,13506,5326,0,2.5358618099887344,8180,1.51,0.3786,11090
200,model.layers.15.self_attn.o_proj,0.6537,74412,35266,0,2.110020983383429,39146,1.65,0.5306,59128
200,model.layers.20.self_attn.o_proj,0.797,95733,37984,0,2.5203506739679864,57749,1.72,0.6306,74323
200,model.layers.25.mlp.gate_proj,0.8788,324990,117338,0,2.7696909781997308,207652,1.83,0.7551,272358
200,model.layers.30.mlp.up_proj,0.6444,212777,111539,0,1.907646652740297,101238,1.69,0.5373,173497
200,model.layers.35.mlp.down_proj,0.5527,142979,135209,0,1.0574665887625825,7770,1.54,0.3,75328
300,model.layers.0.self_attn.q_proj,1.6416,120064,155039,308,0.7744115996620206,-34975,2.06,0.6772,50314
300,model.layers.5.self_attn.k_proj,1.3746,30667,26989,0,1.1362777427840973,3678,1.91,0.6324,13490
300,model.layers.10.self_attn.v_proj,0.8334,23902,11054,0,2.162294192147639,12848,1.71,0.3844,10396
300,model.layers.15.self_attn.o_proj,1.1067,122789,62886,4,1.9525649588143625,59903,1.85,0.453,48377
300,model.layers.20.self_attn.o_proj,1.3464,156540,69339,5,2.25760394583135,87201,1.93,0.5494,60807
300,model.layers.25.mlp.gate_proj,1.6506,578205,252560,0,2.2893767817548305,325645,2.11,0.7718,253215
300,model.layers.30.mlp.up_proj,1.2171,383134,229464,0,1.6696911062301711,153670,1.91,0.5727,170357
300,model.layers.35.mlp.down_proj,0.8543,215591,214416,1,1.005480001492426,1175,1.7,0.3016,72612
400,model.layers.0.self_attn.q_proj,2.017,147833,190218,352,0.7771767130345183,-42385,2.2,0.3754,27769
400,model.layers.5.self_attn.k_proj,1.7455,38276,34934,0,1.0956661132421137,3342,2.04,0.3709,7609
400,model.layers.10.self_attn.v_proj,1.0577,29593,14769,0,2.0037240165210917,14824,1.8,0.2243,5691
400,model.layers.15.self_attn.o_proj,1.3495,147632,78764,6,1.8743588441419938,68868,1.94,0.2428,24843
400,model.layers.20.self_attn.o_proj,1.6387,187787,87136,5,2.1551023687109807,100651,2.03,0.2923,31247
400,model.layers.25.mlp.gate_proj,2.0777,712199,333524,1,2.135375565176719,378675,2.23,0.4271,133994
400,model.layers.30.mlp.up_proj,1.5374,473780,300043,0,1.5790403375516175,173737,2.01,0.3203,90646
400,model.layers.35.mlp.down_proj,1.0244,255681,259935,1,0.9836343701309943,-4254,1.78,0.1701,40090
500,model.layers.0.self_attn.q_proj,2.1336,156506,201078,373,0.7783347755597331,-44572,2.25,0.1166,8673
500,model.layers.5.self_attn.k_proj,1.835,40099,36868,0,1.0876369751546056,3231,2.07,0.0895,1823
500,model.layers.10.self_attn.v_proj,1.1122,31023,15628,0,1.9850908625543895,15395,1.83,0.0545,1430
500,model.layers.15.self_attn.o_proj,1.4004,152839,82098,5,1.8616653268045507,70741,1.96,0.0509,5207
500,model.layers.20.self_attn.o_proj,1.6991,194135,90922,5,2.135181804183806,103213,2.05,0.0604,6348
500,model.layers.25.mlp.gate_proj,2.2113,753362,359621,3,2.094877662872858,393741,2.26,0.1336,41163
500,model.layers.30.mlp.up_proj,1.6413,503178,322907,0,1.558275292886187,180271,2.04,0.1039,29398
500,model.layers.35.mlp.down_proj,1.0717,267040,272386,1,0.9803734406320442,-5346,1.8,0.0473,11359
600,model.layers.0.self_attn.q_proj,2.1597,158393,203560,380,0.7781145608174495,-45167,2.26,0.0261,1887
600,model.layers.5.self_attn.k_proj,1.8391,40216,36923,0,1.089185602470005,3293,2.07,0.0041,117
600,model.layers.10.self_attn.v_proj,1.1203,31252,15737,0,1.9858931181292496,15515,1.83,0.0081,229
600,model.layers.15.self_attn.o_proj,1.3998,152837,82010,5,1.863638580660895,70827,1.95,-0.0006,-2
600,model.layers.20.self_attn.o_proj,1.7001,194372,90848,6,2.139529764001409,103524,2.05,0.001,237
600,model.layers.25.mlp.gate_proj,2.2381,761422,365067,3,2.0857048158283273,396355,2.26,0.0268,8060
600,model.layers.30.mlp.up_proj,1.6606,508635,327186,0,1.5545744622324915,181449,2.04,0.0193,5457
600,model.layers.35.mlp.down_proj,1.0788,268451,274501,1,0.9779600074316669,-6050,1.8,0.0071,1411
613,model.layers.0.self_attn.q_proj,2.1598,158428,203553,380,0.7783132648499408,-45125,2.26,0.0001,35
613,model.layers.5.self_attn.k_proj,1.8404,40217,36974,0,1.0877102829014984,3243,2.07,0.0013,1
613,model.layers.10.self_attn.v_proj,1.1203,31229,15758,0,1.9817870288107629,15471,1.83,0.0,-23
613,model.layers.15.self_attn.o_proj,1.3998,152815,82029,5,1.8629387167952798,70786,1.95,0.0,-22
613,model.layers.20.self_attn.o_proj,1.7017,194538,90961,6,2.138696804124845,103577,2.05,0.0016,166
613,model.layers.25.mlp.gate_proj,2.2425,762754,365915,3,2.0845114302501946,396839,2.26,0.0044,1332
613,model.layers.30.mlp.up_proj,1.6642,509512,328092,0,1.5529546590590444,181420,2.05,0.0036,877
613,model.layers.35.mlp.down_proj,1.0809,269121,274920,1,0.9789065910082934,-5799,1.8,0.0021,670
